id,img_name,Scientific_name,Sex,Tag,Info1,Info2,Info3,Info4
MGCL 1163633,MGCL 1163633_8191.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163633,CUBA: MATANZAS PLAYA DATE: 15 JULY 1950 LEG: SALVADOR L. de la TORRO #9970 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),R Warren colln. Allyn Museum Acc. 2004-1,
MGCL 1163634,MGCL 1163634_8193.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163634,CUBA: MATANZAS VERSALLES DATE: 20 OCTOBER 1950 LEG: SALVADOR L. de la TORRO #9968 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),Allyn Museum Acc. 1995-18,
MGCL 1163635,MGCL 1163635_8195.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163635,CUBA: MATANZAS VERSALLES DATE: 20 OCTOBER 1950 LEG: SALVADOR L. de la TORRO #9959 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),Allyn Museum Acc. 1995-18,
MGCL 1163636,MGCL 1163636_8197.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163636,CUBA: MATANZAS QARRETETA de GUARIABARIA DATE: 24 SEPTEMBER 1950 LEG: SALVADOR L de la TORRO #9957 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),R Warren colln. Allyn Museum Acc. 2004-1,
MGCL 1163637,MGCL 1163637_8199.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163637,CUBA: MATANZAS VERSALLES DATE: 20 OCTOBER 1950 LEG: SALVADOR L. de la TORRO #9967 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),Allyn Museum Acc. 1995-18,
MGCL 1163638,MGCL 1163638_8201.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163638,"Guantanamo, Cuba Oriente Province. Feburuary 19, 1958 Barry Wright",A. C. Allyn Acc. 1970-1,,
MGCL 1163639,MGCL 1163639_8204.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163639,Cuba,Neo,Phoebis eubule ♂ (typical),H C Miller colln MGCL Acc. 2004-4
MGCL 1163640,MGCL 1163640_8206.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163640,leg. G. Müller Sandiago de Cuba M-Amerika 28. 12. 1988,W. McGuire Colln Ex. EMEM colln. MGCL Accession #2008-43,,
MGCL 1163641,MGCL 1163641_8208.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163641,CUBA: MATANZAS LOS PRACTICOS DATE: 25 JUNE 1950 LEG: DR. SALVADOR L de la TORRO #9960 ACQ: KENT WILSON COLL. 1993 ♂,PIERIDAE PHOEBIS sennae sennae (Linnaeus),R Warren colln. Allyn Museum Acc. 2004-1,
MGCL 1163642,MGCL 1163642_8210.JPG,Phoebis sennae sennae,♂,UF FLMNH MGCL 1163642,Cuba / Provinz Holguin Guardalavaco 14 – 30.11.90 O. LEGIER,W. McGuire Colln Ex. EMEM colln. MGCL Accession #2008-43,DNA Sample ID: NVG–5554 c/o Nick V. Grishin,genitalia JXZ191101-48 Jing Zhang
